Name,URL,Duration,UpdateInterval,StartOn,EndBy,Cache
CogoHelp,https://cogo-dashboards.s3.amazonaws.com/images/cogohelp.mp4,0:00:20,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
CogoLabsLogo,https://cogo-dashboards.s3.amazonaws.com/images/cogo-labs-logo.mp4,0:00:20,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
August,https://cogo-dashboards.s3.amazonaws.com/images/August2024.png,0:00:20,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
block_text2,https://office-occupancy.s3.amazonaws.com/block_text_with_company.mp4,0:00:20,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Slack_ad,https://cogo-dashboards.s3.amazonaws.com/images/slack%20ad.png,0:00:20,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Commute,https://cogo-dashboards.s3.amazonaws.com/images/ARE+Shuttle+2024.mp4,0:00:20,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Fire,https://cogo-dashboards.s3.amazonaws.com/images/Updated_Fire_Evac_Vid.mp4,0:00:20,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Wellness,https://cogo-dashboards.s3.amazonaws.com/images/IMG_0006.png,0:00:20,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
FoodTrucks,https://cogo-dashboards.s3.amazonaws.com/images/ARE+Food+Trucks++(Video).mp4,0:00:20,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Farmers,https://cogo-dashboards.s3.amazonaws.com/images/Farmers+Market.png,0:00:20,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
